Name,DB,Name_clean
Chase Bradley,nst,chasebradley
Chase Bradley,hr,chasebradley
Chris Kreider,nst,chriskreider
Chris Kreider,hr,chriskreider
Chris Kreider,yh,chriskreider
Chris Tanev,nst,christanev
Chris Tanev,yh,christanev
Chris Tanev,hr,christanev
Christian Dvorak,hr,christiandvorak
Christian Dvorak,nst,christiandvorak
Christian Fischer,hr,christianfischer
Christian Fischer,nst,christianfischer
Chris Wagner,hr,chriswagner
Chris Wagner,nst,chriswagner
Clark Bishop,nst,clarkbishop
Clark Bishop,hr,clarkbishop
Claude Giroux,yh,claudegiroux
Claude Giroux,nst,claudegiroux
Claude Giroux,hr,claudegiroux
Clayton Keller,nst,claytonkeller
Clayton Keller,yh,claytonkeller
Clayton Keller,hr,claytonkeller
Cody Ceci,hr,codyceci
Cody Ceci,nst,codyceci
Cody Glass,yh,codyglass
Cody Glass,hr,codyglass
Cody Glass,nst,codyglass
Cole Caufield,yh,colecaufield
Cole Caufield,hr,colecaufield
Cole Caufield,nst,colecaufield
Cole Koepke,nst,colekoepke
Cole Koepke,hr,colekoepke
Cole Perfetti,hr,coleperfetti
Cole Perfetti,yh,coleperfetti
Cole Perfetti,nst,coleperfetti
Cole Reinhardt,nst,colereinhardt
Cole Reinhardt,hr,colereinhardt
Cole Schwindt,nst,coleschwindt
Cole Schwindt,hr,coleschwindt
Cole Sillinger,nst,colesillinger
Cole Sillinger,hr,colesillinger
Cole Sillinger,yh,colesillinger
Cole Smith,hr,colesmith
Cole Smith,nst,colesmith
Colin Blackwell,nst,colinblackwell
Colin Blackwell,hr,colinblackwell
Colin Miller,hr,colinmiller
Colin Miller,nst,colinmiller
Colin White,nst,colinwhite
Colin White,hr,colinwhite
Collin Graf,hr,collingraf
Collin Graf,nst,collingraf
Colton Dach,hr,coltondach
Colton Dach,nst,coltondach
Colton Parayko,yh,coltonparayko
Colton Parayko,hr,coltonparayko
Colton Parayko,nst,coltonparayko
Colton Sissons,hr,coltonsissons
Colton Sissons,nst,coltonsissons
Connor Bedard,nst,connorbedard
Connor Bedard,hr,connorbedard
Connor Bedard,yh,connorbedard
Connor Brown,nst,connorbrown
Connor Brown,hr,connorbrown
Connor Clifton,yh,connorclifton
Connor Clifton,hr,connorclifton
Connor Clifton,nst,connorclifton
Connor Dewar,hr,connordewar
Connor Dewar,nst,connordewar
Connor Dewar,yh,connordewar
Connor Hellebuyck,hr,connorhellebuyck
Connor Hellebuyck,nst,connorhellebuyck
Connor Hellebuyck,yh,connorhellebuyck
Connor Ingram,nst,connoringram
Connor Ingram,yh,connoringram
Connor Ingram,hr,connoringram
Connor Mackey,hr,connormackey
Connor Mackey,nst,connormackey
Connor McDavid,yh,connormcdavid
Connor McDavid,hr,connormcdavid
Connor McDavid,nst,connormcdavid
Connor McMichael,yh,connormcmichael
Connor McMichael,hr,connormcmichael
Connor McMichael,nst,connormcmichael
Connor Murphy,hr,connormurphy
Connor Murphy,yh,connormurphy
Connor Murphy,nst,connormurphy
Connor Zary,yh,connorzary
Connor Zary,nst,connorzary
Connor Zary,hr,connorzary
Conor Garland,yh,conorgarland
Conor Garland,hr,conorgarland
Conor Garland,nst,conorgarland
Conor Geekie,nst,conorgeekie
Conor Geekie,hr,conorgeekie
Conor Sheary,hr,conorsheary
Conor Sheary,nst,conorsheary
Conor Timmins,hr,conortimmins
Conor Timmins,yh,conortimmins
Conor Timmins,nst,conortimmins
Corey Perry,nst,coreyperry
Corey Perry,hr,coreyperry
Corey Schueneman,nst,coreyschueneman
Corey Schueneman,hr,coreyschueneman
Craig Smith,hr,craigsmith
Craig Smith,nst,craigsmith
Curtis Lazar,nst,curtislazar
Curtis Lazar,hr,curtislazar
Cutter Gauthier,hr,cuttergauthier
Cutter Gauthier,yh,cuttergauthier
Cutter Gauthier,nst,cuttergauthier
Daemon Hunt,hr,daemonhunt
Daemon Hunt,nst,daemonhunt
Dakota Joshua,nst,dakotajoshua
Dakota Joshua,yh,dakotajoshua
Dakota Joshua,hr,dakotajoshua
Dakota Mermis,hr,dakotamermis
Dakota Mermis,nst,dakotamermis
Dalibor Dvorsky,nst,dalibordvorsky
Dalibor Dvorsky,hr,dalibordvorsky
Damon Severson,hr,damonseverson
Damon Severson,yh,damonseverson
Damon Severson,nst,damonseverson
Daniel Sprong,hr,danielsprong
Daniel Sprong,nst,danielsprong
Daniel Vladař,hr,danielvladar
Daniil Gushchin,hr,daniilgushchin
Daniil Miromanov,hr,daniilmiromanov
Daniil Miromanov,nst,daniilmiromanov
Daniil Misyul,nst,daniilmisyul
Daniil Misyul,hr,daniilmisyul
Daniil Tarasov,hr,daniiltarasov
Daniil Tarasov,yh,daniiltarasov
Daniil Tarasov,nst,daniiltarasov
Danil Gushchin,nst,danilgushchin
Dante Fabbro,yh,dantefabbro
Dante Fabbro,nst,dantefabbro
Dante Fabbro,hr,dantefabbro
Danton Heinen,nst,dantonheinen
Danton Heinen,hr,dantonheinen
Dan Vladar,nst,danvladar
Dan Vladar,yh,danvladar
Darcy Kuemper,yh,darcykuemper
Darcy Kuemper,hr,darcykuemper
Darcy Kuemper,nst,darcykuemper
Darnell Nurse,yh,darnellnurse
Darnell Nurse,nst,darnellnurse
Darnell Nurse,hr,darnellnurse
Darren Raddysh,hr,darrenraddysh
Darren Raddysh,yh,darrenraddysh
Darren Raddysh,nst,darrenraddysh
David Gustafsson,hr,davidgustafsson
David Gustafsson,nst,davidgustafsson
David Jiříček,hr,davidjiricek
David Jiricek,nst,davidjiricek
David Kampf,nst,davidkampf
David Kämpf,hr,davidkampf
David Pastrnak,nst,davidpastrnak
David Pastrňák,hr,davidpastrnak
David Pastrnak,yh,davidpastrnak
David Perron,yh,davidperron
David Perron,hr,davidperron
David Perron,nst,davidperron
David Rittich,hr,davidrittich
David Rittich,nst,davidrittich
David Rittich,yh,davidrittich
David Savard,hr,davidsavard
David Savard,nst,davidsavard
David Savard,yh,davidsavard
Dawson Mercer,nst,dawsonmercer
Dawson Mercer,hr,dawsonmercer
Dawson Mercer,yh,dawsonmercer
Declan Carlile,nst,declancarlile
Declan Carlile,hr,declancarlile
Declan Chisholm,yh,declanchisholm
Declan Chisholm,hr,declanchisholm
Declan Chisholm,nst,declanchisholm
Dennis Cholowski,nst,dennischolowski
Dennis Cholowski,hr,dennischolowski
Dennis Gilbert,nst,dennisgilbert
Dennis Gilbert,hr,dennisgilbert
Dennis Hildeby,yh,dennishildeby
Dennis Hildeby,hr,dennishildeby
Dennis Hildeby,nst,dennishildeby
Denton Mateychuk,hr,dentonmateychuk
Denton Mateychuk,nst,dentonmateychuk
Derek Forbort,hr,derekforbort
Derek Forbort,nst,derekforbort
Derek Ryan,hr,derekryan
Derek Ryan,nst,derekryan
Devin Cooley,yh,devincooley
Devin Shore,hr,devinshore
Devin Shore,nst,devinshore
Devon Levi,yh,devonlevi
Devon Levi,hr,devonlevi
Devon Levi,nst,devonlevi
Devon Toews,nst,devontoews
Devon Toews,yh,devontoews
Devon Toews,hr,devontoews
Dmitri Voronkov,hr,dmitrivoronkov
Dmitri Voronkov,yh,dmitrivoronkov
Dmitri Voronkov,nst,dmitrivoronkov
Dmitry Kulikov,yh,dmitrykulikov
Dmitry Kulikov,hr,dmitrykulikov
Dmitry Kulikov,nst,dmitrykulikov
Dmitry Orlov,nst,dmitryorlov
Dmitry Orlov,yh,dmitryorlov
Dmitry Orlov,hr,dmitryorlov
Dominic Toninato,hr,dominictoninato
Dominic Toninato,nst,dominictoninato
Dominik Shine,nst,dominikshine
Dominik Shine,hr,dominikshine
Donovan Sebrango,nst,donovansebrango
Donovan Sebrango,hr,donovansebrango
Dougie Hamilton,nst,dougiehamilton
Dougie Hamilton,yh,dougiehamilton
Dougie Hamilton,hr,dougiehamilton
Drake Batherson,yh,drakebatherson
Drake Batherson,nst,drakebatherson
Drake Batherson,hr,drakebatherson
Drake Caggiula,hr,drakecaggiula
Drake Caggiula,nst,drakecaggiula
Drew Commesso,nst,drewcommesso
Drew Commesso,hr,drewcommesso
Drew Doughty,yh,drewdoughty
Drew Doughty,nst,drewdoughty
Drew Doughty,hr,drewdoughty
Drew Helleson,hr,drewhelleson
Drew Helleson,yh,drewhelleson
Drew Helleson,nst,drewhelleson
Drew O'Connor,hr,drewoconnor
Drew O'Connor,nst,drewoconnor
Dryden Hunt,hr,drydenhunt
Dryden Hunt,nst,drydenhunt
Dustin Tokarski,nst,dustintokarski
Dustin Tokarski,yh,dustintokarski
Dustin Tokarski,hr,dustintokarski
Dustin Wolf,hr,dustinwolf
Dustin Wolf,yh,dustinwolf
Dustin Wolf,nst,dustinwolf
Dylan Coghlan,hr,dylancoghlan
Dylan Coghlan,nst,dylancoghlan
Dylan Cozens,nst,dylancozens
Dylan Cozens,hr,dylancozens
Dylan Cozens,yh,dylancozens
Dylan DeMelo,hr,dylandemelo
Dylan DeMelo,nst,dylandemelo
Dylan DeMelo,yh,dylandemelo
Dylan Duke,nst,dylanduke
Dylan Duke,hr,dylanduke
Dylan Guenther,yh,dylanguenther
Dylan Guenther,hr,dylanguenther
Dylan Guenther,nst,dylanguenther
Dylan Holloway,yh,dylanholloway
Dylan Holloway,nst,dylanholloway
Dylan Holloway,hr,dylanholloway
Dylan Larkin,hr,dylanlarkin
Dylan Larkin,nst,dylanlarkin
Dylan Larkin,yh,dylanlarkin
Dylan McIlrath,nst,dylanmcilrath
Dylan McIlrath,hr,dylanmcilrath
Dylan Samberg,nst,dylansamberg
Dylan Samberg,yh,dylansamberg
Dylan Samberg,hr,dylansamberg
Dylan Strome,yh,dylanstrome
Dylan Strome,hr,dylanstrome
Dylan Strome,nst,dylanstrome
Eeli Tolvanen,yh,eelitolvanen
Eeli Tolvanen,nst,eelitolvanen
Eeli Tolvanen,hr,eelitolvanen
Eetu Luostarinen,nst,eetuluostarinen
Eetu Luostarinen,hr,eetuluostarinen
Egor Zamula,nst,egorzamula
Egor Zamula,yh,egorzamula
Elias Lindholm,nst,eliaslindholm
Elias Lindholm,yh,eliaslindholm
Elias Lindholm,hr,eliaslindholm
Elias Pettersson,nst,eliaspettersson
Elias Pettersson,hr,eliaspettersson
Elias Pettersson,yh,eliaspettersson
Elmer Söderblom,hr,elmersoderblom
Elmer Soderblom,nst,elmersoderblom
Elvis Merzlikins,yh,elvismerzlikins
Elvis Merzļikins,hr,elvismerzlikins
Elvis Merzlikins,nst,elvismerzlikins
Emil Andrae,nst,emilandrae
Emil Andrae,hr,emilandrae
Emil Bemstrom,nst,emilbemstrom
Emil Bemström,hr,emilbemstrom
Emil Heineman,yh,emilheineman
Emil Heineman,hr,emilheineman
Emil Heineman,nst,emilheineman
Emil Lilleberg,nst,emillilleberg
Emil Martinsen Lilleberg,hr,emilmartinsenlilleberg
Eric Comrie,nst,ericcomrie
Eric Comrie,hr,ericcomrie
Eric Comrie,yh,ericcomrie
Eric Robinson,yh,ericrobinson
Eric Robinson,nst,ericrobinson
Eric Robinson,hr,ericrobinson
Erik Brannstrom,nst,erikbrannstrom
Erik Brännström,hr,erikbrannstrom
Erik Brannstrom,yh,erikbrannstrom
Erik Cernak,nst,erikcernak
Erik Cernak,yh,erikcernak
Erik Černák,hr,erikcernak
Erik Gudbranson,nst,erikgudbranson
Erik Gudbranson,hr,erikgudbranson
Erik Gustafsson,yh,erikgustafsson
Erik Gustafsson,nst,erikgustafsson
Erik Gustafsson,hr,erikgustafsson
Erik Haula,yh,erikhaula
